person_id,full_name,reported_gender,entity_status,lineage_status,created_from,created_on
P-85236EAB05,Windson Alves de Oliveira Torres,masculino,registro de atleta: identificado,sem promotor identificado,censo oficial IBJJF,2026-07-05
P-C5B4FA9DC8,William James Wilson,masculino,registro de atleta: identificado,sem promotor identificado,censo oficial IBJJF,2026-07-05
P-49B04619C8,João Pedro Bueno Mendes,masculino,registro de atleta: identificado,sem promotor identificado,censo oficial IBJJF,2026-07-05
P-C6D75967AB,Wallisson Oliveira Souza,masculino,registro de atleta: identificado,sem promotor identificado,censo oficial IBJJF,2026-07-05
P-4B4D7256BA,Rerisson dos Santos Gabriel,masculino,registro de atleta: identificado,sem promotor identificado,censo oficial IBJJF,2026-07-05
P-84285E7FDC,Sebastian Ernesto Serpa,masculino,registro de atleta: identificado,sem promotor identificado,censo oficial IBJJF,2026-07-05
P-119DA4473D,Guilherme Rodrigues Fernandes,masculino,registro de atleta: identificado,sem promotor identificado,censo oficial IBJJF,2026-07-05
P-04C0280CD3,Arthan Bandeira Silva Barcellos,masculino,registro de atleta: identificado,sem promotor identificado,censo oficial IBJJF,2026-07-05
P-FD07745122,Guilherme Guimaraes Borges Olimpio Rocha,masculino,registro de atleta: identificado,sem promotor identificado,censo oficial IBJJF,2026-07-05
P-19A3880C18,Gabrieli Pessanha de Souza Marinho,feminino,registro de atleta: identificado,sem promotor identificado,censo oficial IBJJF,2026-07-05
P-122DF0F356,Larissa Dias de Almeida,feminino,registro de atleta: identificado,sem promotor identificado,censo oficial IBJJF,2026-07-05
P-CEB556A565,Sarah C. Firme Galvao,feminino,registro de atleta: identificado,sem promotor identificado,censo oficial IBJJF,2026-07-05
P-B8A6609A25,Mayssa Caldas Pereira Bastos,feminino,registro de atleta: identificado,sem promotor identificado,censo oficial IBJJF,2026-07-05
P-4964218F10,Janaina Maia de Menezes,feminino,registro de atleta: identificado,sem promotor identificado,censo oficial IBJJF,2026-07-05
P-4B248C632B,Ashlee Funegra,feminino,registro de atleta: identificado,sem promotor identificado,censo oficial IBJJF,2026-07-05
P-0C49D4E91A,Tayane Porfírio de Araújo,feminino,registro de atleta: identificado,sem promotor identificado,censo oficial IBJJF,2026-07-05
P-32916A5AF0,Yara Soares do Nascimento,feminino,registro de atleta: identificado,sem promotor identificado,censo oficial IBJJF,2026-07-05
P-9F11F01914,Marina Carraro Penedo,feminino,registro de atleta: identificado,sem promotor identificado,censo oficial IBJJF,2026-07-05
P-4675B56260,Thamara Ferreira Silva,feminino,registro de atleta: identificado,sem promotor identificado,censo oficial IBJJF,2026-07-05
P-DDB86E6E85,Amanda Magda de Oliveira,feminino,registro de atleta: identificado,sem promotor identificado,censo oficial IBJJF,2026-07-05
P-34D4518CCA,Maria Luiza Nunes Pinto,feminino,registro de atleta: identificado,sem promotor identificado,censo oficial IBJJF,2026-07-05
P-A7B3733A22,Lillian Jane Marchand,feminino,registro de atleta: identificado,sem promotor identificado,censo oficial IBJJF,2026-07-05
