student_id,student_name,teacher_id,teacher_name,confidence,source,evidence
147,Rubens Charles,437,Fernando Augusto Silva,high,site_lineage_field,Lineage declarada no perfil: Carlos Gracie > Helio Gracie > Rolls Gracie > Romero Cavalcanti > Alexandre Paiva > Fernando Tererê > Rubens Charles > Michael Langhi > Isaque Bahiense > Carlos Henrique
122,Michael Langhi,147,Rubens Charles,high,site_lineage_field,Lineage declarada no perfil: Carlos Gracie > Helio Gracie > Rolls Gracie > Romero Cavalcanti > Alexandre Paiva > Fernando Tererê > Rubens Charles > Michael Langhi > Isaque Bahiense > Carlos Henrique
7552,Isaque Bahiense,122,Michael Langhi,high,site_lineage_field,Lineage declarada no perfil: Carlos Gracie > Helio Gracie > Rolls Gracie > Romero Cavalcanti > Alexandre Paiva > Fernando Tererê > Rubens Charles > Michael Langhi > Isaque Bahiense > Carlos Henrique
1400,Carlos Henrique,7552,Isaque Bahiense,high,site_lineage_field,Lineage declarada no perfil: Carlos Gracie > Helio Gracie > Rolls Gracie > Romero Cavalcanti > Alexandre Paiva > Fernando Tererê > Rubens Charles > Michael Langhi > Isaque Bahiense > Carlos Henrique
1594,Carlos Lemos Jr,297,Carlos Gracie Junior,high,site_lineage_field,Lineage declarada no perfil: Mitsuyo Maeda > Carlos Gracie Sr. > Carlos Gracie Junior > Carlos Lemos Jr
2100,Claudio Franca,2040,Francisco Mansur,high,site_lineage_field,Lineage declarada no perfil: Mitsuyo Maeda > Carlos Gracie > Helio Gracie > Francisco Mansor > Claudio Franca > Carlos Melo
9611,Carlos Melo,2100,Claudio Franca,high,site_lineage_field,Lineage declarada no perfil: Mitsuyo Maeda > Carlos Gracie > Helio Gracie > Francisco Mansor > Claudio Franca > Carlos Melo
v_jorge_pina,Jorge Pina,527,Oswaldo Fadda,high,site_lineage_field,Lineage declarada no perfil: Mitsuyo Maeda > Luis França > Oswaldo Fadda > Jorge Pina > Carlos Vieira
396,Carlos Vieira,v_jorge_pina,Jorge Pina,high,site_lineage_field,Lineage declarada no perfil: Mitsuyo Maeda > Luis França > Oswaldo Fadda > Jorge Pina > Carlos Vieira
7006,Julio dos Anjos Junior,3416,Monir Salomao,high,site_lineage_field,Lineage declarada no perfil: Luis França > Oswaldo Fadda > Monir Salomão > Júlio César > Júlio dos Anjos > Catriel Oliveira
12346,Catriel Oliveira,7006,Julio dos Anjos Junior,high,site_lineage_field,Lineage declarada no perfil: Luis França > Oswaldo Fadda > Monir Salomão > Júlio César > Júlio dos Anjos > Catriel Oliveira
1000,Caroline Lazzer,ze-mario-sperry-mma-and-bjj-fighter-wiki,José Mario Sperry,high,site_lineage_field,Lineage declarada no perfil: Mitsuyo Maeda > Carlos Gracie > Carlson Gracie > Ze Mario Sperry > Caroline de Lazzer
14032,Cassia Moura,637,Bruno Bastos,high,site_lineage_field,Lineage declarada no perfil: Luiz França > Oswaldo Fadda > Sebastião Ricardo > Wendell Alexander > Bruno Bastos > Cassia Moura
829,Cassio Cardoso,22,Carlson Gracie,high,site_lineage_field,Lineage declarada no perfil: Carlos Gracie > Helio Gracie > Carlson Gracie > Cássio Cardoso
13379,Cassio Felipe Costa,84,Alexandre Ribeiro,high,site_lineage_field,Lineage declarada no perfil: C. Gracie > H. Gracie > Royler Gracie > Saulo Ribeiro > Alexandre Ribeiro > Felipe Costa
v_ricardo_reis,Ricardo Reis,1886,Fabricio Martins,high,site_lineage_field,Lineage declarada no perfil: Mitsuyo Maeda > Carlos Gracie > Reyson Gracie > Osvaldo Alves > Fabrício Martins > Ricardo Reis > Cassio Werneck
1223,Cassio Werneck,v_ricardo_reis,Ricardo Reis,high,site_lineage_field,Lineage declarada no perfil: Mitsuyo Maeda > Carlos Gracie > Reyson Gracie > Osvaldo Alves > Fabrício Martins > Ricardo Reis > Cassio Werneck
8562,Catherine Perret,419,Leonardo Vieira,high,site_lineage_field,Lineage declarada no perfil: Mitsuyo Maeda > Carlos Gracie Senior > Helio Gracie > Rolls Gracie > Romero (Jacaré) Cavalcanti > Leonardo Vieira > Catherine Fuhro Perret
10596,Cleber Luciano,1445,Rolker Gracie,high,site_lineage_field,Lineage declarada no perfil: Carlos Gracie > Helio Gracie > Royler Gracie > Rolker Gracie > Cleber Luciano
7657,Cleber Sousa,7672,Caio Almeida,high,site_lineage_field,Lineage declarada no perfil: C. Gracie > Carlos Gracie Jr > Ryan Gracie > Gabriel Vella > Caio Almeida > Cleber Sousa
428,Celso Vinicius,553,Roberto Correa,high,site_lineage_field,Lineage declarada no perfil: Mitsuyo Maeda > Carlos Gracie Sr. > Carlos Gracie Junior > Roberto Correa > Celso Venicius
929,Cesar Gracie,3394,Robson Gracie,high,site_lineage_field,Lineage declarada no perfil: Mitsuyo Maeda > Carlos Gracie Sr. > Robson Gracie > Cesar Gracie
v_walter_guimaraes,Walter Guimaraes,22,Carlson Gracie,high,site_lineage_field,Lineage declarada no perfil: Mitsuyo Maeda > Carlos Gracie > Carlson Gracie > Walter Guimaraes > Cesar Guimaraes
2512,Cezar Guimarães,v_walter_guimaraes,Walter Guimaraes,high,site_lineage_field,Lineage declarada no perfil: Mitsuyo Maeda > Carlos Gracie > Carlson Gracie > Walter Guimaraes > Cesar Guimaraes
588,Renato Tavares,22,Carlson Gracie,high,site_lineage_field,Lineage declarada no perfil: Mitsuyo Maeda > Carlos Gracie > Carlson Gracie > Renato Tavares > Colin/Kyle Cannon > Nick Albin > Chad Hardy
v_colin_kyle_cannon,Colin/Kyle Cannon,588,Renato Tavares,high,site_lineage_field,Lineage declarada no perfil: Mitsuyo Maeda > Carlos Gracie > Carlson Gracie > Renato Tavares > Colin/Kyle Cannon > Nick Albin > Chad Hardy
v_nick_albin,Nick Albin,v_colin_kyle_cannon,Colin/Kyle Cannon,high,site_lineage_field,Lineage declarada no perfil: Mitsuyo Maeda > Carlos Gracie > Carlson Gracie > Renato Tavares > Colin/Kyle Cannon > Nick Albin > Chad Hardy
9845,Chad Hardy,v_nick_albin,Nick Albin,high,site_lineage_field,Lineage declarada no perfil: Mitsuyo Maeda > Carlos Gracie > Carlson Gracie > Renato Tavares > Colin/Kyle Cannon > Nick Albin > Chad Hardy
7652,Charles Negromonte,1633,Jose Olimpio,high,site_lineage_field,Lineage declarada no perfil: Carlos Gracie > Helio Gracie > Carlos Gracie Jr > José Olímpio > Charles Negromonte
720,Jorge Patino,1097,Waldomiro Perez,high,site_lineage_field,Lineage declarada no perfil: Carlos Gracie > Helio Gracie > Rickson Gracie > Marcelo Behring > Waldomiro Perez > Jorge Patino > Charles Oliveira
877,Charles Oliveira,720,Jorge Patino,high,site_lineage_field,Lineage declarada no perfil: Carlos Gracie > Helio Gracie > Rickson Gracie > Marcelo Behring > Waldomiro Perez > Jorge Patino > Charles Oliveira
v_ulf_ehlert,Ulf Ehlert,322,Fabio Gurgel,high,site_lineage_field,Lineage declarada no perfil: Carlos Gracie > Helio Gracie > Rolls Gracie > Romero Cavalcanti (Jacaré) > Fábio Gurgel > Ulf Ehlert > Charlotte Von Baumgarten
9545,Charlotte Von Baumgarten,v_ulf_ehlert,Ulf Ehlert,high,site_lineage_field,Lineage declarada no perfil: Carlos Gracie > Helio Gracie > Rolls Gracie > Romero Cavalcanti (Jacaré) > Fábio Gurgel > Ulf Ehlert > Charlotte Von Baumgarten
9587,Eduardo Rios,591,Ricardo Liborio,high,site_lineage_field,Lineage declarada no perfil: Carlos Gracie > Helio Gracie > Carlson Gracie > Ricardo Libório > Eduardo Rios > Pedro Lott > Chayse Diekema
v_pedro_lott,Pedro Lott,9587,Eduardo Rios,high,site_lineage_field,Lineage declarada no perfil: Carlos Gracie > Helio Gracie > Carlson Gracie > Ricardo Libório > Eduardo Rios > Pedro Lott > Chayse Diekema
13655,Chayse Diekema,v_pedro_lott,Pedro Lott,high,site_lineage_field,Lineage declarada no perfil: Carlos Gracie > Helio Gracie > Carlson Gracie > Ricardo Libório > Eduardo Rios > Pedro Lott > Chayse Diekema
484,Murilo Santana,v_mario_yamasaki,Mario Yamasaki,high,site_lineage_field,Lineage declarada no perfil: Carlos Gracie > Helio Gracie > Rickson Gracie > Marcelo Behring > Mario Yamasaki > Murilo Santana > Chloé McNally
12708,Chloe McNally,484,Murilo Santana,high,site_lineage_field,Lineage declarada no perfil: Carlos Gracie > Helio Gracie > Rickson Gracie > Marcelo Behring > Mario Yamasaki > Murilo Santana > Chloé McNally
v_edson_carvalho,Edson Carvalho,22,Carlson Gracie,high,site_lineage_field,Lineage declarada no perfil: Carlos Gracie > Carlson Gracie > Edson Carvalho > Robson Barbosa > Christian Graugart
v_robson_barbosa,Robson Barbosa,v_edson_carvalho,Edson Carvalho,high,site_lineage_field,Lineage declarada no perfil: Carlos Gracie > Carlson Gracie > Edson Carvalho > Robson Barbosa > Christian Graugart
2402,Christian Graugart,v_robson_barbosa,Robson Barbosa,high,site_lineage_field,Lineage declarada no perfil: Carlos Gracie > Carlson Gracie > Edson Carvalho > Robson Barbosa > Christian Graugart
7808,Christian Moriarty,355,Romero Cavalcanti,high,site_lineage_field,Lineage declarada no perfil: Mitsuyo Maeda > Carlos Gracie > Helio Gracie > Rolls Gracie > Romero Cavalcanti > Chris Moriarty
4411,Julius Park,1307,Lloyd Irvin,high,site_lineage_field,Lineage declarada no perfil: Carlos Gracie > Helio Gracie > Rickson Gracie > Jorge Pereira > Leo Dalla > Lloyd Irvin > Julius Park > Christopher Tran
13747,Chris Tran,4411,Julius Park,high,site_lineage_field,Lineage declarada no perfil: Carlos Gracie > Helio Gracie > Rickson Gracie > Jorge Pereira > Leo Dalla > Lloyd Irvin > Julius Park > Christopher Tran
v_christian_uflacker,Christian Uflacker,297,Carlos Gracie Junior,high,site_lineage_field,Lineage declarada no perfil: Mitsuyo Maeda > Carlos Gracie > Helio Gracie > Carlos Gracie Jr > Christian Uflacker
559,Rodrigo Medeiros,22,Carlson Gracie,high,site_lineage_field,Lineage declarada no perfil: Carlos Gracie > Helio Gracie > Carlson Gracie > Rodrigo Medeiros > Johnny Ramirez > Mark Vives > John Gutta > Claire North
v_johnny_ramirez,Johnny Ramirez,559,Rodrigo Medeiros,high,site_lineage_field,Lineage declarada no perfil: Carlos Gracie > Helio Gracie > Carlson Gracie > Rodrigo Medeiros > Johnny Ramirez > Mark Vives > John Gutta > Claire North
v_mark_vives,Mark Vives,v_johnny_ramirez,Johnny Ramirez,high,site_lineage_field,Lineage declarada no perfil: Carlos Gracie > Helio Gracie > Carlson Gracie > Rodrigo Medeiros > Johnny Ramirez > Mark Vives > John Gutta > Claire North
v_john_gutta,John Gutta,v_mark_vives,Mark Vives,high,site_lineage_field,Lineage declarada no perfil: Carlos Gracie > Helio Gracie > Carlson Gracie > Rodrigo Medeiros > Johnny Ramirez > Mark Vives > John Gutta > Claire North
12663,Claire North,v_john_gutta,John Gutta,high,site_lineage_field,Lineage declarada no perfil: Carlos Gracie > Helio Gracie > Carlson Gracie > Rodrigo Medeiros > Johnny Ramirez > Mark Vives > John Gutta > Claire North
v_claudia_do_val,Claudia do Val,361,Ricardo De La Riva,high,site_lineage_field,Lineage declarada no perfil: Carlos Gracie > Helio Gracie > Carlson Gracie > Ricardo De La Riva > Claudia do Val
7749,Claudio Joanino,634,Wendell Alexander,high,site_lineage_field,Lineage declarada no perfil: M. Maeda > Luiz França > Oswaldo Fadda > Sebastião Ricardo > Wendell Alexander > Cláudio Joanino
489,Claudio Silva,338,Ricardo Vieira,high,site_lineage_field,Lineage declarada no perfil: Mitsuyo Maeda > Carlos Gracie > Helio Gracie > Rolls Gracie > Romero Cavalcanti > Ricardo Vieira (BWO Leo Negao) > Claudio Silva
443,Claudio Mattos,374,Vinicius Magalhaes,high,site_lineage_field,Lineage declarada no perfil: Mitsuyo Maeda > Carlos Gracie Sr. > Helio Gracie > Carlos Gracie Junior > Vinicius Magalhães > Claudio Mattos
v_jose_senador,José Senador,v_takeo_yano,Takeo Yano,high,site_lineage_field,Lineage declarada no perfil: Takeo Yano > José Senador > Alberto Lage > Ronald Bauer > Cleito Soares > Cleito Soares Jr
v_alberto_lage,Alberto Lage,v_jose_senador,José Senador,high,site_lineage_field,Lineage declarada no perfil: Takeo Yano > José Senador > Alberto Lage > Ronald Bauer > Cleito Soares > Cleito Soares Jr
v_ronald_bauer,Ronald Bauer,v_alberto_lage,Alberto Lage,high,site_lineage_field,Lineage declarada no perfil: Takeo Yano > José Senador > Alberto Lage > Ronald Bauer > Cleito Soares > Cleito Soares Jr
v_cleito_soares,Cleito Soares,v_ronald_bauer,Ronald Bauer,high,site_lineage_field,Lineage declarada no perfil: Takeo Yano > José Senador > Alberto Lage > Ronald Bauer > Cleito Soares > Cleito Soares Jr
v_cleito_soares_jr,Cleito Soares Jr,v_cleito_soares,Cleito Soares,high,site_lineage_field,Lineage declarada no perfil: Takeo Yano > José Senador > Alberto Lage > Ronald Bauer > Cleito Soares > Cleito Soares Jr
v_nonato_machado,Nonato Machado,2003,Reyson Gracie,high,site_lineage_field,Lineage declarada no perfil: Mitsuyo Maeda > Carlos Gracie > Reyson Gracie > Nonato Machado > Cosmo Dias
7976,Cosmo Dias,v_nonato_machado,Nonato Machado,high,site_lineage_field,Lineage declarada no perfil: Mitsuyo Maeda > Carlos Gracie > Reyson Gracie > Nonato Machado > Cosmo Dias
415,Guilherme Mendes,640,Ramon Lemos,high,site_lineage_field,Lineage declarada no perfil: Carlos Gracie > Carlson Gracie > André Pederneiras > Ramon Lemos > Guilherme Mendes > Cole Abate
12950,Cole Abate,415,Guilherme Mendes,high,site_lineage_field,Lineage declarada no perfil: Carlos Gracie > Carlson Gracie > André Pederneiras > Ramon Lemos > Guilherme Mendes > Cole Abate
931,Mauricio Mariano,297,Carlos Gracie Junior,high,site_lineage_field,Lineage declarada no perfil: Carlos Gracie > Helio Gracie > Carlos Gracie Jr > Maurício Mariano > Cole Franson
9150,Cole Franson,931,Mauricio Mariano,high,site_lineage_field,Lineage declarada no perfil: Carlos Gracie > Helio Gracie > Carlos Gracie Jr > Maurício Mariano > Cole Franson
