student_id,student_name,teacher_id,teacher_name,confidence,source,match_quality,evidence,source_url
1253,Marcelo Ribeiro,297,Carlos Gracie Junior,high,bio_extraction,exact,"Ribeiro became a JJ black belt under Carlos Gracie Junior, after which he migrated to the United States of America wh",https://www.bjjheroes.com/?p=1253
13628,Marcelo Pereira,634,Wendell Alexander,high,bio_extraction,exact,eira is a jiu-jitsu black belt under Wendell Alexander&Andre Pederneiraswho was part of the revered Nova Uniao lig,https://www.bjjheroes.com/?p=13628
9,Marcio Cruz,297,Carlos Gracie Junior,high,bio_extraction,exact,Brazilian Jiu-Jitsublack belt under Carlos Gracie Juniorwho is regarded by many as one of the best ultra-heavyweight compe,https://www.bjjheroes.com/?p=9
687,Marcio Feitosa,297,Carlos Gracie Junior,high,bio_extraction,exact,"ian Jiu-Jitsu, is a black belt under Carlos Gracie Junior, being also his master's right-hand man in relation to Grac",https://www.bjjheroes.com/?p=687
3090,Marcio Stambowsky,27,Rolls Gracie,high,bio_extraction,exact,"ve been graded as a black belt by the legendary Rolls Gracie, often referenced as the . Stambowsky, who was one of the t",https://www.bjjheroes.com/?p=3090
1124,Marcos Escobar,935,Leonardo Castello Branco,high,bio_extraction,exact,"Brazilian Jiu Jitsublack belt under Leonardo Castello Branco, having competed and medalled in several important tourname",https://www.bjjheroes.com/?p=1124
2385,Marcos Galvao,78,Andre Pederneiras,high,bio_extraction,exact,"Jiu Jitsu, being a black belt under the illustrious Andre Pederneiras, Marcos Galvao has won important grappling competitions suc",https://www.bjjheroes.com/?p=2385
14261,Marcos Gomes Guedes,415,Guilherme Mendes,high,bio_extraction,exact,"ppler and jiu-jitsu black belt under Guilherme Mendes, who worked with an array of coaches during his path toward",https://www.bjjheroes.com/?p=14261
9573,Marcos Martins,492,Marco Barbosa,high,bio_extraction,exact,"Brazilian jiu-jitsublack belt under Marco Barbosa and Diego Martins, as well a representative of São Paulo Brazil-based",https://www.bjjheroes.com/?p=9573
6577,Marcos Santana,338,Ricardo Vieira,high,bio_extraction,exact,Brazilian jiu jitsublack belt under Ricardo Vieira and Fabricio Medeiros. An accomplished athlete with important wins in ji,https://www.bjjheroes.com/?p=6577
984,Marcus Almeida,543,Rodrigo Cavaca,high,bio_extraction,exact,"Brazilian Jiu-Jitsublack belt under Rodrigo Cavacaand a member of the Checkmat academy, being widely regarded as the great",https://www.bjjheroes.com/?p=984
10130,Marcus Vinicius Ribeiro,11701,Luciano Nucci,high,bio_extraction,exact,"Brazilian jiu-jitsu black belt under Luciano Nucci (Casquinha), who also worked extensively with coaches Juan",https://www.bjjheroes.com/?p=10130
13505,Maria Luiza,7672,Caio Almeida,high,bio_extraction,exact,"iza, is a jiu-jitsu black belt under Caio Almeidaand a member of the Almeida Jiu-Jitsu team who often represents the Atos",https://www.bjjheroes.com/?p=13505
