id,name,first_name,last_name,nickname,team,url,bio,is_historical
13245,Ademir Barreto,Ademir,Barreto,,GF Team,https://www.bjjheroes.com/?p=13245,"Ademir Barreto Araujo is a professional grappler and a black belt in jiu-jitsu under coach Orlando Júnior, who specializes in the gi (kimono) facet of the sport, where he represents theGF Teamsquad. Ademir Barreto first made waves in the lower belt divisions, particularly after winning the Abu Dhabi Jiu-Jitsu Pro (AJP) World title and subsequently going on to beat some of the toughest professional black belts in the sport while still bearing his brown belt. Full Name:Ademir Barreto Araújo",False
6339,Admilson Brites,Admilson,Brites,Juquinha,Gracie Humaita,https://www.bjjheroes.com/?p=6339,"Admilson Brites, commonly known as “Juquinha”, is aBrazilian jiu-jitsublack belt underRoyler Gracie, being one ofGracie Humaitá Academy‘s most accomplished athletes during the 2000’s decade, having since created his own association. Juquinha is also also revered for his work towards the development of jiu jitsu in Brasília (Brazil’s capital), as well as being recognized for his incredible family tree and its close relationship to grappling, with big names of this martial art such as grandmasterGeny Rebello(uncle),Armando Wriedt(uncle), Cirillo Azevedo (cousin) andAilson Brites(brother). Full Name:Admilson Rosa Brites",False
8968,Admilson Gobi Junior,Admilson,Gobi Junior,,,https://www.bjjheroes.com/?p=8968,"Admilson Gobi Junior is aBrazilian jiu jitsublack belt under Master João Eugênio and Ronaldo Lorentz, being also known for representingLloyd Irvinand his team on international events. Gobi made a name for himself in the lower belt divisions of the sport, later cementing his reputation as one of the top BJJ ultra-heavyweights of his generation by way of his excellent performances at the International Brazilian Jiu Jitsu Federation (IBJJF) World and Pan tournaments. Full Name:Admilson Gobi Junior",False
9541,Aniel Bonifacio,Aniel,Bonifacio,,Rodrigo Carvalho JJ,https://www.bjjheroes.com/?p=9541,"Aniel Bonifacio Candido, commonly known simply as Aniel Bonifacio, is aBrazilian jiu-jitsublack belt under Rodrigo Carvalho, being also one of the main rooster-weight grappling competitors of his generation. Bonifacio made a name for himself after his wins in important International Brazilian Jiu-Jitsu Federation (IBJJF) tournaments such as the Brazilian National and South American Championship. Full Name:Aniel Bonifacio Candido",False
13498,Adele Fornarino,Adele,Fornarino,,Team Dominance,https://www.bjjheroes.com/?p=13498,"Adele Fornarino is a breakthrough athlete for Australian grappling and a jiu-jitsu black belt under David Hart of Team Dominance MMA. Fornarino broke through as one of the foremost athletes in the feather/light-featherweight division back in 2022 when she conquered the International Brazilian Jiu-Jitsu Federation (IBJJF) World No-Gi title as a brown belt, and the Oceania & Asia ADCC Qualifiers. She would go on to win several important medals including a double gold at the Abu Dhabi Combat Club (ADCC) 2024 World tournament, then becoming simultaneously the first Australian to win the event, and the first to win the open class. Full Name:Adele Marie Fornarino",False
699,Adriana Martins,Adriana,Martins,,Akxe,https://www.bjjheroes.com/?p=699,"Adriana Martins is a Brazilian Jiu Jitsu black belt under two of the best coaches in the world, “Vini” Campelo andOctavio Couto(also known as “Ratinho”). A former Rio de Janeiro State Champion, today she leads a young team of champions together with her husband,“Beto” Carmonafrom their gym in Rio de Janeiro Full Name:Adriana Martins Duarte Pinto",False
1116,Adriano Martins,Adriano,Martins,,,https://www.bjjheroes.com/?p=1116,"Adriano Martins is a professional MMA competitor with an impressive fight record having wins over big names in Brazil such as Ronys Torres and Luciano Azevedo before reaching the biggest mixed martial arts organization in the world, the UFC. Adriano is also an excitingBrazilian Jiu Jitsublack belt underCristiano Carioca, having won several important titles such as the World Championships (in blue and purple belt). Full Name:Adriano Soares Martins",False
909,Adriano Silva,Adriano,Silva,,Barbosa JJ,https://www.bjjheroes.com/?p=909,"Adriano Silva is one of the topBrazilian Jiu Jitsucompetitors of his generation who fought most of his career for the “Equipe Barbosa” camp in Sao Paulo, Brazil. Making better use of his incredible guard game, Adriano Silva has competed against the “who is who” of BJJ having achieved several important titles such as the Rio Open (IBJJF) the SP Cup in the open weight division, the South American title and the International Masters & Seniors title. Full Name:Adriano Ferreira Araújo Silva",False
4328,AJ Agazarm,AJ,Agazarm,,Gracie Barra,https://www.bjjheroes.com/?p=4328,"AJ Agazarm is a leading figure of an amazing generation of black beltBrazilian Jiu Jitsucompetitors to have come from the United States of America. Being a former D1 wrestler, AJ Agazarm became known in the lower belt divisions of jiu jitsu for his fast paced game, his scrambles and his takedown ability, which earned him numerous titles and his black belt, awarded in 2013 by Eduardo de Lima andCarlos Gracie Junior. Full Name:AJ Agazarm",False
2189,Alan Belcher,Alan,Belcher,,,https://www.bjjheroes.com/?p=2189,"Alan Belcher also known “The Talent” is a professional Mixed Martial Arts (MMA) fighter, famed for his fights in the UFC where he defeated big names of the sport such as Denis Kang, Wilson Gouveia andRousimar Palhares. Alan Belcher is also aBrazilian jiu jitsublack belt under the illustriousHelio “Soneca”, having also spent time following the instructions ofDaniel Moraes. Full Name:Alan Belcher",False
